date,price,freight_value,quantity_sold
2017-05-01,93.54674603174603,16.954761904761906,143
2017-05-02,130.1121052631579,19.552105263157895,145
2017-05-03,91.246,18.806454545454546,122
2017-05-04,111.51702479338843,18.88107438016529,148
2017-05-05,116.42794871794871,19.49111111111111,131
2017-05-06,116.49008130081302,18.401138211382115,153
2017-05-07,148.21254545454548,21.55890909090909,118
2017-05-08,113.37899999999999,20.252214285714285,174
2017-05-09,137.75610738255034,19.877181208053692,205
2017-05-10,174.75068376068378,18.752051282051283,126
2017-05-11,132.78426470588235,21.93433823529412,150
2017-05-12,102.25219298245614,19.84122807017544,123
2017-05-13,112.89148648648647,19.170405405405404,83
2017-05-14,114.016,18.0612,147
2017-05-15,106.50271084337349,20.292349397590364,188
2017-05-16,123.82935294117648,18.552705882352942,197
2017-05-17,117.73350649350648,19.45538961038961,169
